date,town,trade,value,permit_page
2026-08-17,Braintree,Windows/Doors/Siding,,https://masspermits.com/permits/braintree-windows-doors-siding
2026-08-17,Braintree,Roofing,,https://masspermits.com/permits/braintree-roofing
2026-08-17,Attleboro,Gas,,https://masspermits.com/permits/attleboro-gas
2026-08-16,Braintree,Deck/Porch,,https://masspermits.com/permits/braintree-deck-porch
2026-08-16,Rockland,Plumbing,,https://masspermits.com/permits/rockland-plumbing
2026-08-16,Rockland,Plumbing,,https://masspermits.com/permits/rockland-plumbing
2026-08-16,Mashpee,Electrical,,https://masspermits.com/permits/mashpee-electrical
2026-08-16,Mashpee,Electrical,,https://masspermits.com/permits/mashpee-electrical
2026-08-16,Sandwich,Renovation/Remodel,,https://masspermits.com/permits/sandwich-renovation-remodel
2026-08-16,Stoughton,Building,,https://masspermits.com/permits/stoughton-building
2026-08-16,Easton,Renovation/Remodel,,https://masspermits.com/permits/easton-renovation-remodel
2026-08-16,Easton,Other,,https://masspermits.com/permits/easton-other
2026-08-16,Hanson,HVAC,,https://masspermits.com/permits/hanson-hvac
2026-08-16,Attleboro,Renovation/Remodel,,https://masspermits.com/permits/attleboro-renovation-remodel
2026-08-16,Attleboro,Building,,https://masspermits.com/permits/attleboro-building
2026-08-15,Dorchester,Plumbing,1500.0,https://masspermits.com/permits/dorchester-plumbing
2026-08-15,Dorchester,Demolition,80000.0,https://masspermits.com/permits/dorchester-demolition
2026-08-15,Jamaica Plain,Windows/Doors/Siding,9000.0,https://masspermits.com/permits/jamaica-plain-windows-doors-siding
2026-08-15,Mashpee,Gas,,https://masspermits.com/permits/mashpee-gas
2026-08-15,Sandwich,Renovation/Remodel,,https://masspermits.com/permits/sandwich-renovation-remodel
2026-08-15,Sandwich,Electrical,,https://masspermits.com/permits/sandwich-electrical
2026-08-15,Randolph,Renovation/Remodel,,https://masspermits.com/permits/randolph-renovation-remodel
2026-08-15,Easton,Renovation/Remodel,,https://masspermits.com/permits/easton-renovation-remodel
2026-08-15,Hanson,Electrical,,https://masspermits.com/permits/hanson-electrical
2026-08-15,Hanson,Electrical,,https://masspermits.com/permits/hanson-electrical
2026-08-15,Fairhaven,Plumbing,,https://masspermits.com/permits/fairhaven-plumbing
2026-08-15,Fairhaven,Plumbing,,https://masspermits.com/permits/fairhaven-plumbing
2026-08-15,Fairhaven,Gas,,https://masspermits.com/permits/fairhaven-gas
2026-08-15,Cambridge,Fire/Sprinkler,106128.0,https://masspermits.com/permits/cambridge-fire-sprinkler
2026-08-14,Brighton,Electrical,3000.0,https://masspermits.com/permits/brighton-electrical
2026-08-14,Brighton,HVAC,30000.0,https://masspermits.com/permits/brighton-hvac
2026-08-14,Roxbury,Renovation/Remodel,5000.0,https://masspermits.com/permits/roxbury-renovation-remodel
2026-08-14,Dorchester,Other,5008.62,https://masspermits.com/permits/dorchester-other
2026-08-14,Charlestown,Electrical,4500.0,https://masspermits.com/permits/charlestown-electrical
2026-08-14,South Boston,Gas,5000.0,https://masspermits.com/permits/south-boston-gas
2026-08-14,West Roxbury,Deck/Porch,40515.0,https://masspermits.com/permits/west-roxbury-deck-porch
2026-08-14,East Boston,Electrical,3000.0,https://masspermits.com/permits/east-boston-electrical
2026-08-14,West Roxbury,Electrical,3000.0,https://masspermits.com/permits/west-roxbury-electrical
2026-08-14,Hyde Park,Electrical,3000.0,https://masspermits.com/permits/hyde-park-electrical
2026-08-14,Boston,Electrical,24000.0,https://masspermits.com/permits/boston-electrical
2026-08-14,Charlestown,Electrical,8900.0,https://masspermits.com/permits/charlestown-electrical
2026-08-14,Roslindale,Plumbing,5000.0,https://masspermits.com/permits/roslindale-plumbing
2026-08-14,Roslindale,Gas,500.0,https://masspermits.com/permits/roslindale-gas
2026-08-14,Allston,Fire/Sprinkler,198000.0,https://masspermits.com/permits/allston
2026-08-14,Mission Hill,Electrical,3000.0,https://masspermits.com/permits/mission-hill-electrical
2026-08-14,Charlestown,Electrical,2780.0,https://masspermits.com/permits/charlestown-electrical
2026-08-14,Mission Hill,HVAC,5000.0,https://masspermits.com/permits/mission-hill-hvac
2026-08-14,Jamaica Plain,Electrical,2500.0,https://masspermits.com/permits/jamaica-plain-electrical
2026-08-14,Jamaica Plain,HVAC,3000.0,https://masspermits.com/permits/jamaica-plain-hvac
2026-08-14,Boston,Fire/Sprinkler,102000.0,https://masspermits.com/permits/boston-fire-sprinkler
2026-08-14,Roslindale,Electrical,4500.0,https://masspermits.com/permits/roslindale-electrical
2026-08-14,Boston,Electrical,225000.0,https://masspermits.com/permits/boston-electrical
2026-08-14,Allston,HVAC,15500.0,https://masspermits.com/permits/allston-hvac
2026-08-14,South Boston,Electrical,500.0,https://masspermits.com/permits/south-boston-electrical
2026-08-14,East Boston,Electrical,500.0,https://masspermits.com/permits/east-boston-electrical
2026-08-14,Roxbury,Electrical,20000.0,https://masspermits.com/permits/roxbury-electrical
2026-08-14,South Boston,Electrical,6900.0,https://masspermits.com/permits/south-boston-electrical
